"address","maker_trades_1wk","maker_avg_size","maker_unique_markets"
"0xee647a302eb75c9eb9081b45500f4b7cac5c00ab",24896,3.4993,2208
"0xd106952ebf30a3125affd8a23b6c1f30c35fc79c",24752,198.7445,518
"0xc34f6b088bb9172625ee1ea2ee8da9ac4f037d2e",24731,4.8403,872
"0xd531cd0441b8abab0ad0ed2b410c438919818415",24702,5.7637,388
"0x94746ed6c69bdd5d5711b18d781d3978ef705091",24620,1.2303,3248
"0xd7ebb8bb9d151b60885cb68ec303dd7919bd4c93",24618,5.695,938
"0x1d949489f736378cbde40db18c093c5cff459100",24596,12.2289,1664
"0x649f120a9e392136f60db20ce74df77c5e91e76b",24480,4.6161,2110
"0xe9a20dcbd2d96470bcde7aa7cb84bb2a740c27a0",24370,1.6039,1265
"0x4ee29e4e7d4c380babeae5e22e5c02400c2246e1",24352,29.9006,544
"0xebd9018611387df205fc3931bcaf988e897883ea",24150,1.5098,710
"0x715fc1844849ca84212fc4cc1e5fb1a2c7d5ddd9",24090,3.5087,2510
"0xe944ba349e33f72f543deb8bd4371d917553650c",23934,4.0725,270
"0xeab5a0d6d5955b6a94093bbad6e925f3bfb5f570",23839,4.2179,76
"0xf1addd3c7e01df23c3258ec690bbef8896546979",23786,4.3438,644
"0x7edb8d9e184f9747d6957dc3d54e1e8a0d6e7993",23781,5.7083,333
"0xd3460a425d79d6dd91871f0cd3358bbb2c5a70f3",23776,1.4373,181
"0x47788d2c49e79f2fd076ac2ebf81df0da2499b19",23743,2.2753,1064
"0x43cb4ae1f4ddc9e671486c79c9f40a6fd98b84df",23735,5.2821,1329
"0xd9e0aaca471f489be338fd0f91a26e8669a805f2",23676,42.4357,190
"0x0e1e3983b0b48c1e98d7d9a14af372a67faacaa1",23638,3.4848,3918
"0xc67f572e0f39ef85e4cfafcf353d144c054fdac8",23626,0.7943,585
"0x6cf4896e1b0656bb73af4591da479204e664e1fa",23549,0.3106,4261
"0x098fab4f4981110aeef16b20289cfa9f808a2a72",23438,23.565,437
"0x3ef48ef7ec467c11522ad90c84113523ad1a2a12",23174,16.0665,1227
"0x0bb35fcadf1ec3a0676aaa10233df60ab697f9ef",23140,1.3935,969
"0x6969692c6ee158137abc6cba082558ce857a99b3",23035,2.4086,331
"0x70f84b2111265c4ce80bded14cf61463b1f4b0cf",23031,3.0895,385
"0xa5595d804a23b869cbf241214edc074fe8026dbb",22936,7.6079,2588
"0x0b1d46ff9a94dfe2f92f573e3fc0aa6c09373ec3",22884,11.3897,593
"0x9a6e8a42c54dbc18cc5fda7db48501c7afaba070",22868,2.4464,1609
"0xb9cf24c960ca3e6edba9ddb11d2c5370a809cbfd",22866,6.3641,1060
"0x063814c105e0eba7b2ae8d28e3744817a44c74a1",22663,6.4407,39
"0xd9794cec399f35f7af04e0d41a66e1fb2374d8a0",22579,3.5531,898
"0x70b680d8035b3255fe61488affd10bbd3498aa2f",22525,1.6077,2599
"0x9e13a9bc0cb1c52b1440975106f1f5df925b7ef1",22476,2.7662,5906
"0x2bc776f8310ee936c080b779a6226309513d0513",22471,4.1256,872
"0x47138dc1eef25f1ea91f3b2fda0e0f455c634d21",22419,21.5757,971
